signal,ret_1d_ic,ret_1d_p,ret_1d_n,ret_2d_ic,ret_2d_p,ret_2d_n
pc_oi_ratio,0.004901960784313726,0.9851029592703197,17,0.09411764705882353,0.7288144270239807,16
pc_vol_ratio,-0.3088235294117647,0.22778565332325174,17,-0.25,0.35039147910720203,16
max_pain_strike,-0.13985218281710055,0.592409972758486,17,-0.058616469402603476,0.8292755230885195,16
max_pain_dist,-0.02696078431372549,0.9181909009189737,17,-0.2676470588235294,0.31625441854830927,16
max_pain_dist_pct,-0.007352941176470588,0.9776558930236224,17,-0.24705882352941175,0.35627504151257744,16
dealer_call_net,-0.3308823529411765,0.194542528266613,17,-0.16176470588235295,0.5494831434036931,16
dealer_put_net,-0.3186274509803922,0.2125915923704277,17,-0.13529411764705881,0.6173674089706421,16
oi_hhi,0.029411764705882353,0.9107803991169199,17,0.06764705882352941,0.8034203137966693,16
top3_oi_share,0.5710784313725491,0.016646381649637165,17,0.36176470588235293,0.16855882250388424,16
d_pc_oi_ratio,-0.16421568627450983,0.5288225629141268,17,-0.07941176470588236,0.7700253190398251,16
d_pc_vol_ratio,-0.12254901960784316,0.639378272107459,17,0.0411764705882353,0.8796536149318311,16
d_total_call_oi,-0.03431372549019608,0.8959808104551742,17,0.1323529411764706,0.6251064291516133,16
d_total_put_oi,-0.019607843137254905,0.9404583435037518,17,0.17941176470588235,0.5061395399904387,16
d_dealer_call_net,-0.41421568627450983,0.09833118794961318,17,-0.014705882352941175,0.9568919240316421,16
d_dealer_put_net,-0.42401960784313725,0.0898416849718557,17,-0.02058823529411765,0.9396737397890448,16
