# lvl0,lvl1,lvl2,lvl3,lvl4
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
4.990000000000000213e+00,5.009999999999999787e+00,4.969999999999999751e+00,5.019999999999999574e+00,5.040000000000000036e+00
5.009999999999999787e+00,5.000000000000000000e+00,4.959999999999999964e+00,5.049999999999999822e+00,4.990000000000000213e+00
4.969999999999999751e+00,5.019999999999999574e+00,4.940000000000000391e+00,5.070000000000000284e+00,5.019999999999999574e+00
5.000000000000000000e+00,4.990000000000000213e+00,4.969999999999999751e+00,5.030000000000000249e+00,5.040000000000000036e+00
5.049999999999999822e+00,5.030000000000000249e+00,4.940000000000000391e+00,5.030000000000000249e+00,5.030000000000000249e+00
5.040000000000000036e+00,5.019999999999999574e+00,4.959999999999999964e+00,5.019999999999999574e+00,5.059999999999999609e+00
5.040000000000000036e+00,5.019999999999999574e+00,4.980000000000000426e+00,5.030000000000000249e+00,5.049999999999999822e+00
5.040000000000000036e+00,4.990000000000000213e+00,5.000000000000000000e+00,4.990000000000000213e+00,5.089999999999999858e+00
5.040000000000000036e+00,5.009999999999999787e+00,5.000000000000000000e+00,4.990000000000000213e+00,5.070000000000000284e+00
5.099999999999999645e+00,4.980000000000000426e+00,4.980000000000000426e+00,4.969999999999999751e+00,5.120000000000000107e+00
5.089999999999999858e+00,4.940000000000000391e+00,4.950000000000000178e+00,4.990000000000000213e+00,5.120000000000000107e+00
5.089999999999999858e+00,4.940000000000000391e+00,4.950000000000000178e+00,4.969999999999999751e+00,5.099999999999999645e+00
5.070000000000000284e+00,4.969999999999999751e+00,4.940000000000000391e+00,4.959999999999999964e+00,5.080000000000000071e+00
5.089999999999999858e+00,5.000000000000000000e+00,4.929999999999999716e+00,4.929999999999999716e+00,5.099999999999999645e+00
5.089999999999999858e+00,4.980000000000000426e+00,4.959999999999999964e+00,4.940000000000000391e+00,5.070000000000000284e+00
5.059999999999999609e+00,4.969999999999999751e+00,4.929999999999999716e+00,4.980000000000000426e+00,5.120000000000000107e+00
5.049999999999999822e+00,5.000000000000000000e+00,4.929999999999999716e+00,4.959999999999999964e+00,5.179999999999999716e+00
5.070000000000000284e+00,4.959999999999999964e+00,4.889999999999999680e+00,5.019999999999999574e+00,5.150000000000000355e+00
5.049999999999999822e+00,4.990000000000000213e+00,4.910000000000000142e+00,5.019999999999999574e+00,5.160000000000000142e+00
5.059999999999999609e+00,5.000000000000000000e+00,4.929999999999999716e+00,4.980000000000000426e+00,5.209999999999999964e+00
