factor,median_all,median_high_vol,median_low_vol,note
BidAskRatio,-0.5883,-0.5883,-0.4850,❌ FAIL
DepthImbalance,-0.5883,-0.5883,-0.4850,❌ FAIL
DepthSlope,-0.5133,-0.5187,-0.5133,❌ FAIL
EWMA_OBI,-0.0827,-0.0893,-0.0672,❌ FAIL
HighFreqRSI,-46.9389,-44.9530,-48.8198,❌ FAIL
Hybrid_Slope_OBI,0.1531,0.1365,0.2768,
LiquidityRecovery,-0.8448,-2.8162,0.2155,❌ FAIL
MicroPrice,-0.3504,-0.2461,-0.6021,❌ FAIL
MidMomentum,-443.5965,-110.1145,-469.4207,❌ FAIL
OBI,-0.1873,-0.1341,-0.2051,❌ FAIL
OFI,-198.3229,-203.9437,-190.5483,❌ FAIL
OFI_Lag,-167.7492,-172.7453,-159.9903,❌ FAIL
OrderBookEntropy,-1.5507,-1.4823,-1.6032,❌ FAIL
PriceReversal,-0.4625,1.9353,-1.5771,🔥 HIGH VOL ONLY
QueuePressure,-0.2170,0.2848,-0.2334,❌ FAIL
RealizedVol,0.2035,-2.1543,1.3366,
SlowFastMomentum,-42.7838,-34.7141,-51.9878,❌ FAIL
Spread,0.2245,-2.1128,1.3330,
SpreadTicks,0.2245,-2.1128,1.3330,
SpreadVolatility,-0.4625,1.9353,-1.5771,🔥 HIGH VOL ONLY
SqrtImpact,-84.4010,-71.2842,-94.7019,❌ FAIL
TotalDepth,0.2245,-2.1128,1.3330,
TradeArrivalRate,0.2170,-2.1129,1.3330,
TradeClustering,0.1694,-2.1298,1.3265,
TradeImbalance,-72.2345,-61.4477,-84.9791,❌ FAIL
TradeIntensity,0.1685,-2.1526,1.3488,
TransientReprice,-108.6437,-77.2108,-358.7438,❌ FAIL
VolumeRatio,0.2245,-2.1128,1.3330,
WOBI,-0.3237,-0.2991,-0.3627,❌ FAIL
